id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33005148,Nice bedroom easily access to city centre,248403712,Shuxin,,Bos en Lommer,52.37673,4.85997,Private room,50,7,22,2019-07-03,5.95,1,12
33005205,Family-friendly Mansion in Amsterdam city center,40093487,Sabine,,Centrum-Oost,52.36978,4.91246,Entire home/apt,133,4,4,2019-04-25,1.29,1,0
33008449,Cozy Studio in the Pijp / Next to the Albert Cuyp,73765146,Chun,,De Pijp - Rivierenbuurt,52.35218,4.89454,Entire home/apt,200,2,8,2019-05-27,2.58,1,0
33008703,"Cityden Museum Square, One bedroom apartment",246190166,Cityden,,Zuid,52.35506,4.88348,Entire home/apt,275,1,0,,,5,165
33008769,"Cityden Museum Square, One bedroom apartment",246190166,Cityden,,Zuid,52.35437,4.88309,Entire home/apt,275,1,5,2019-06-23,1.53,5,159
33008830,"Cityden Museum Square, One bedroom apartment",246190166,Cityden,,Zuid,52.35434,4.88183,Private room,275,1,0,,,5,148
33008872,"Cityden Museum Square, One bedroom apartment",246190166,Cityden,,Zuid,52.35446,4.88144,Entire home/apt,275,1,0,,,5,135
33008921,"Cityden Museum Square, One bedroom apartment",246190166,Cityden,,Zuid,52.35588,4.88336,Entire home/apt,275,1,1,2019-04-23,0.38,5,173
33009140,Cozy 1 room apartment in Amsterdam,241282144,Ida,,Buitenveldert - Zuidas,52.32724,4.87943,Entire home/apt,90,1,2,2019-03-24,0.52,1,11
33011893,Maria&Georg-von-Trapp-Music-Palace-Forever,34666885,Maria (Bob) & Georg (Maryn),,Geuzenveld - Slotermeer,52.37459,4.83301,Entire home/apt,260,1,6,2019-06-09,1.57,1,263
33013917,"Super-located, Bright, Modern & Cosy Apartment",16269224,Tata,,De Baarsjes - Oud-West,52.36805,4.85206,Entire home/apt,160,2,1,2019-06-23,1,1,0
33016005,Light double bedroom next to Oosterpark,5688810,Paola,,Oud-Oost,52.36153,4.92495,Entire home/apt,130,3,4,2019-06-30,1.64,1,0
33026661,Heel huis aan rustig hofje nabij Centrum en Amstel,248578246,Martin,,Oud-Oost,52.35062,4.91335,Entire home/apt,275,7,0,,,1,56
33026828,Beautiful and spacious house in Amsterdam (220 m2),79394277,Valerie,,Watergraafsmeer,52.33925,4.91858,Entire home/apt,450,3,2,2019-07-01,2,1,272
33027387,Kleine kamer met smal dubbel bed,225067360,Ton,,Oud-Noord,52.39994,4.88979,Private room,133,1,0,,,2,49
33029686,Great apartment in trendy Pijp,248594626,Joël,,De Pijp - Rivierenbuurt,52.34976,4.89399,Entire home/apt,175,2,5,2019-05-13,1.47,1,7
33034181,Garden view studio in family home,4513007,Suzanne,,IJburg - Zeeburgereiland,52.35437,4.99524,Private room,85,3,6,2019-06-30,1.78,1,78
33034788,Nice house in IJburg suitable for 4 guests.,19121694,Sara,,IJburg - Zeeburgereiland,52.35337,5.00397,Entire home/apt,140,3,6,2019-06-29,1.65,1,2
33035311,Cozy apt. Next to the vibrant Vondelpark!,113977564,Willem,,De Baarsjes - Oud-West,52.36418,4.87818,Entire home/apt,79,3,4,2019-04-16,1.30,62,0
33036005,Stunning spacious apt with 2 bedrooms!,113977564,Willem,,De Baarsjes - Oud-West,52.36886,4.86939,Entire home/apt,139,2,7,2019-04-22,1.83,62,0
33036837,Historic warehouse on small island in city centre,22508029,Oona,,Centrum-West,52.38717,4.88755,Entire home/apt,195,3,0,,,1,0
33040348,Amsterdam beach/marina family home,8930202,Catherine,,IJburg - Zeeburgereiland,52.35294,5.0021,Entire home/apt,200,2,2,2019-06-16,1.58,1,158
33040352,Perfect (en uitsluitend) voor stellen en families!,1856394,Joep & Judith,,De Baarsjes - Oud-West,52.36574,4.85591,Entire home/apt,145,3,2,2019-06-10,0.77,1,5
33042149,Apartment with park view - 15 min from city centre,202021636,Laura,,De Baarsjes - Oud-West,52.36927,4.84859,Entire home/apt,135,2,0,,,1,27
33042335,Gezellige eengezinswoning Amsterdam-Noord,61515859,Jurjen,,Noord-Oost,52.39449,4.93326,Entire home/apt,125,3,1,2019-04-30,0.43,1,1
33043215,Modern Amsterdam town house great for families,78864959,Sharon,,Buitenveldert - Zuidas,52.32461,4.85811,Entire home/apt,220,3,2,2019-06-16,0.79,1,15
33054205,Boutique home in Amsterdam,246311283,Ella,,De Pijp - Rivierenbuurt,52.35529,4.90333,Entire home/apt,220,3,8,2019-06-17,2.76,1,176
33056587,NICE MODERN APARTMENT IN A GREAT NEIGBORHOOD!,37347310,Bas,,De Baarsjes - Oud-West,52.37109,4.85973,Private room,200,1,0,,,3,0
33059000,"Private studio, 2 rooms and bathroom in city villa",39004824,Femke,,De Aker - Nieuw Sloten,52.34217,4.82137,Entire home/apt,70,3,2,2019-06-24,2,2,124
33059529,Beautiful room in lively Amsterdam east,8101229,Daniela,,Watergraafsmeer,52.35206,4.94506,Private room,40,1,14,2019-07-07,4.16,1,2
33061795,Newly renovated apt + garden in quiet neighborhood,17415216,Loes,,Watergraafsmeer,52.33947,4.94006,Entire home/apt,150,2,0,,,1,17
33083786,Spacious apartment 5 minutes from Vondelpark,248992792,Valerie,,Slotervaart,52.35092,4.84133,Entire home/apt,300,2,2,2019-06-02,0.75,1,17
33087392,High end apartment with private roof terrace,6173941,Rens,,Zuid,52.35679,4.8776,Entire home/apt,189,3,0,,,1,18
33087684,Near Pijp area - unique Dutch style ground floor,23158253,Aron,,De Pijp - Rivierenbuurt,52.34912,4.90708,Entire home/apt,150,3,3,2019-04-22,0.81,2,11
33087976,Lovely apartment with balcony near the Jordaan,249023756,Marit,,Westerpark,52.38167,4.86989,Entire home/apt,99,2,0,,,1,20
33088232,Gardencity apartment,17782974,Eline,,Bos en Lommer,52.38605,4.84973,Entire home/apt,128,15,1,2019-04-30,0.43,2,0
33089581,Bright and cozy apartment 5min walk to city centre,249037376,Mark,,Centrum-Oost,52.37409,4.90541,Entire home/apt,125,3,5,2019-06-22,1.61,2,0
